trip_id,route_id,service_id,trip_headsign,direction_id
34321,MB,invvv-15.pex,Sopela,0
34322,MB,invvv-15.pex,Etxebarri,1
34323,MB,invvv-15.pex,Etxebarri,1
34324,MB,invvv-15.pex,Etxebarri,1
34325,MB,invvv-15.pex,Ibarbengoa,0
34326,MB,invvv-15.pex,Etxebarri,1
34327,MB,invvv-15.pex,Ibarbengoa,0
34328,MB,invvv-15.pex,Etxebarri,1
34329,MB,invvv-15.pex,Larrabasterra,0
34330,MB,invvv-15.pex,Etxebarri,1
34331,MB,invvv-15.pex,Larrabasterra,0
34332,MB,invvv-15.pex,Etxebarri,1
34333,MB,invvv-15.pex,Larrabasterra,0
34334,MB,invvv-15.pex,Etxebarri,1
34335,MB,invvv-15.pex,Larrabasterra,0
34336,MB,invvv-15.pex,Etxebarri,1
34337,MB,invvv-15.pex,Larrabasterra,0
34338,MB,invvv-15.pex,Etxebarri,1
34339,MB,invvv-15.pex,Sopela,0
34340,MB,invvv-15.pex,Sopela,0
34341,MB,invvv-15.pex,Etxebarri,1
34342,MB,invvv-15.pex,Sopela,0
34343,MB,invvv-15.pex,Etxebarri,1
34344,MB,invvv-15.pex,Basauri,1
34345,MB,invvv-15.pex,Kabiezes,0
34346,MB,invvv-15.pex,Basauri,1
34347,MB,invvv-15.pex,Kabiezes,0
34348,MB,invvv-15.pex,Basauri,1
34349,MB,invvv-15.pex,Kabiezes,0
34350,MB,invvv-15.pex,Basauri,1
34351,MB,invvv-15.pex,Kabiezes,0
34352,MB,invvv-15.pex,Basauri,1
34353,MB,invvv-15.pex,Kabiezes,0
34354,MB,invvv-15.pex,Basauri,1
34355,MB,invvv-15.pex,Kabiezes,0
34356,MB,invvv-15.pex,Basauri,1
34357,MB,invvv-15.pex,Kabiezes,0
34358,MB,invvv-15.pex,Basauri,1
34359,MB,invvv-15.pex,Kabiezes,0
34360,MB,invvv-15.pex,Basauri,1
34361,MB,invvv-15.pex,Kabiezes,0
34362,MB,invvv-15.pex,Basauri,1
34363,MB,invvv-15.pex,Kabiezes,0
34364,MB,invvv-15.pex,Sopela,0
34365,MB,invvv-15.pex,Etxebarri,1
34366,MB,invvv-15.pex,Etxebarri,1
34367,MB,invvv-15.pex,Larrabasterra,0
34368,MB,invvv-15.pex,Sopela,0
33715,MB,invvv-15.pex,Etxebarri,1
33716,MB,invvv-15.pex,Ibarbengoa,0
33717,MB,invvv-15.pex,Etxebarri,1
33718,MB,invvv-15.pex,Ibarbengoa,0
33719,MB,invvv-15.pex,Etxebarri,1
33720,MB,invvv-15.pex,Ibarbengoa,0
33721,MB,invvv-15.pex,Etxebarri,1
33722,MB,invvv-15.pex,Ibarbengoa,0
33723,MB,invvv-15.pex,Etxebarri,1
33724,MB,invvv-15.pex,Ibarbengoa,0
33725,MB,invvv-15.pex,Etxebarri,1
33726,MB,invvv-15.pex,Ibarbengoa,0
33727,MB,invvv-15.pex,Etxebarri,1
33728,MB,invvv-15.pex,Ibarbengoa,0
33729,MB,invvv-15.pex,Etxebarri,1
33730,MB,invvv-15.pex,Larrabasterra,0
33731,MB,invvv-15.pex,Etxebarri,1
33732,MB,invvv-15.pex,Larrabasterra,0
33733,MB,invvv-15.pex,Etxebarri,1
33734,MB,invvv-15.pex,Etxebarri,1
33735,MB,invvv-15.pex,Ibarbengoa,0
33736,MB,invvv-15.pex,Etxebarri,1
33737,MB,invvv-15.pex,Larrabasterra,0
33738,MB,invvv-15.pex,Etxebarri,1
33739,MB,invvv-15.pex,Ibarbengoa,0
33740,MB,invvv-15.pex,Etxebarri,1
33741,MB,invvv-15.pex,Sopela,0
33742,MB,invvv-15.pex,Etxebarri,1
33743,MB,invvv-15.pex,Ibarbengoa,0
33744,MB,invvv-15.pex,Etxebarri,1
33745,MB,invvv-15.pex,Ibarbengoa,0
33746,MB,invvv-15.pex,Etxebarri,1
33747,MB,invvv-15.pex,Larrabasterra,0
33748,MB,invvv-15.pex,Etxebarri,1
33749,MB,invvv-15.pex,Larrabasterra,0
33750,MB,invvv-15.pex,Etxebarri,1
33751,MB,invvv-15.pex,Larrabasterra,0
33752,MB,invvv-15.pex,Etxebarri,1
33753,MB,invvv-15.pex,Larrabasterra,0
