trip_id,stop_sequence,arrival_time,departure_time,stop_id
22996,6,09:09:26,09:09:46,37.0
22936,21,09:09:28,09:09:43,38.0
22557,18,09:09:32,09:09:52,35.0
22976,19,09:09:33,09:09:58,9.0
22529,6,09:09:37,09:10:02,7.0
22622,24,09:09:42,09:09:52,1.0
22414,14,09:09:43,09:10:08,12.0
22744,13,09:09:44,09:10:09,12.0
22511,21,09:09:44,09:09:59,22.0
22535,3,09:09:47,09:10:02,2.0
22843,27,09:09:50,09:10:05,2.0
22642,15,09:09:55,09:10:20,32.0
22903,10,09:09:55,09:10:20,9.0
22764,18,09:09:56,09:10:21,19.0
22482,18,09:09:58,09:10:23,7.0
22461,3,09:10:11,09:10:21,40.0
23014,3,09:10:11,09:10:36,4.0
22391,9,09:10:16,09:10:31,17.0
22440,12,09:10:28,09:10:53,13.0
22665,10,09:10:30,09:10:55,11.0
22862,8,09:10:33,09:10:48,20.0
22425,15,09:10:33,09:10:48,16.0
22784,21,09:10:34,09:10:59,5.0
22599,10,09:10:36,09:10:51,33.0
22724,1,09:10:45,09:11:00,51.0
22791,7,09:10:45,09:11:10,6.0
22882,15,09:10:48,09:11:13,10.0
22576,3,09:10:49,09:11:14,23.0
22925,22,09:10:52,09:11:07,3.0
22529,7,09:10:52,09:11:17,8.0
22936,22,09:10:53,09:11:08,39.0
22775,3,09:10:57,09:11:12,26.0
22702,25,09:10:58,09:11:08,42.0
22825,15,09:10:59,09:11:14,14.0
22976,20,09:11:09,09:11:34,8.0
22557,19,09:11:10,09:11:20,36.0
22851,13,09:11:13,09:11:28,14.0
22622,25,09:11:13,09:11:23,51.0
22903,11,09:11:14,09:11:39,10.0
22957,1,09:11:16,09:11:31,42.0
22744,14,09:11:16,09:11:46,13.0
22511,22,09:11:18,09:11:43,23.0
22996,7,09:11:18,09:11:28,36.0
22482,19,09:11:23,09:11:48,6.0
22535,4,09:11:25,09:11:40,3.0
22391,10,09:11:26,09:11:41,16.0
22414,15,09:11:28,09:11:53,11.0
23014,4,09:11:28,09:11:53,5.0
22461,4,09:11:31,09:11:46,39.0
22764,19,09:11:46,09:12:01,20.0
22642,16,09:11:48,09:12:03,33.0
22784,22,09:11:50,09:12:15,4.0
22425,16,09:12:00,09:12:15,17.0
22882,16,09:12:03,09:12:28,9.0
22862,9,09:12:06,09:12:31,19.0
22791,8,09:12:07,09:12:32,7.0
22599,11,09:12:11,09:12:36,32.0
22440,13,09:12:13,09:12:38,12.0
22665,11,09:12:14,09:12:39,12.0
22699,1,09:12:17,09:12:32,2.0
