route_id,service_id,trip_id,direction_id,block_id,shape_id
804,101109,101109,0,,
804,101110,101110,0,,
805,101024,101024,0,,
805,101025,101025,0,,
805,101026,101026,0,,
805,101027,101027,0,,
805,101028,101028,0,,
805,101029,101029,0,,
805,101030,101030,0,,
805,101031,101031,0,,
805,101032,101032,0,,
805,101033,101033,0,,
805,101034,101034,0,,
805,101035,101035,0,,
805,101036,101036,0,,
805,101037,101037,0,,
805,101038,101038,0,,
805,101039,101039,0,,
805,101040,101040,0,,
805,101041,101041,0,,
805,101792,101792,1,,
805,101793,101793,1,,
806,100102,100102,1,,
806,100103,100103,1,,
806,101269,101269,0,,
806,101270,101270,0,,
806,101271,101271,0,,
807,100287,100287,1,,
807,100288,100288,1,,
807,101187,101187,0,,
807,101188,101188,0,,
808,185003,185003,0,,
808,185005,185005,0,,
808,185007,185007,0,,
808,185008,185008,0,,
808,185009,185009,0,,
808,185010,185010,0,,
810,99488,99488,0,,
810,99489,99489,0,,
810,99558,99558,1,,
810,99559,99559,1,,
811,99707,99707,1,,
811,99708,99708,1,,
811,99709,99709,1,,
811,100574,100574,1,,
811,101794,101794,0,,
811,101795,101795,0,,
812,100181,100181,1,,
812,100182,100182,1,,
812,100183,100183,1,,
812,100184,100184,1,,
812,100185,100185,1,,
812,100572,100572,0,,
812,100573,100573,0,,
812,100848,100848,0,,
812,100849,100849,0,,
812,101001,101001,0,,
812,101002,101002,0,,
812,101003,101003,0,,
813,100311,100311,1,,
813,100312,100312,1,,
813,186228,186228,1,,
813,186229,186229,1,,
813,101224,101224,0,,
813,101225,101225,0,,
813,186230,186230,0,,
813,186231,186231,0,,
814,99818,99818,1,,
814,99819,99819,1,,
814,100703,100703,0,,
814,100704,100704,0,,
815,100304,100304,1,,
815,100305,100305,1,,
815,100306,100306,1,,
815,100307,100307,1,,
815,100308,100308,1,,
815,100309,100309,1,,
815,100310,100310,1,,
815,101203,101203,0,,
815,101204,101204,0,,
815,101205,101205,0,,
815,101220,101220,0,,
815,101221,101221,0,,
815,101222,101222,0,,
815,101223,101223,0,,
816,100476,100476,1,,
816,100477,100477,1,,
816,101318,101318,0,,
816,101319,101319,0,,
817,99695,99695,1,,
817,99696,99696,1,,
817,99697,99697,1,,
817,99698,99698,1,,
817,99699,99699,1,,
817,101087,101087,0,,
817,101088,101088,0,,
818,99682,99682,1,,
818,99683,99683,1,,
818,99684,99684,1,,
818,99685,99685,1,,
818,99686,99686,1,,
818,99687,99687,1,,
818,99688,99688,1,,
818,99689,99689,1,,
818,99690,99690,1,,
818,99691,99691,1,,
818,99692,99692,1,,
818,99693,99693,1,,
818,99694,99694,1,,
818,100961,100961,0,,
818,100962,100962,0,,
818,100963,100963,0,,
818,100964,100964,0,,
818,100965,100965,0,,
818,100966,100966,0,,
818,100967,100967,0,,
818,100968,100968,0,,
818,100969,100969,0,,
818,100970,100970,0,,
818,100971,100971,0,,
818,100972,100972,0,,
818,100973,100973,0,,
818,100974,100974,0,,
818,101077,101077,0,,
818,101080,101080,0,,
818,101081,101081,0,,
818,185001,185001,0,,
818,185002,185002,0,,
819,186100,186100,1,,
819,186101,186101,1,,
819,186102,186102,1,,
819,186103,186103,1,,
819,186104,186104,1,,
819,186105,186105,1,,
819,186106,186106,1,,
819,186107,186107,1,,
819,186108,186108,1,,
819,186109,186109,1,,
819,186110,186110,1,,
819,186111,186111,1,,
819,186112,186112,1,,
819,186113,186113,1,,
819,186114,186114,1,,
819,186115,186115,1,,
819,186116,186116,1,,
819,186117,186117,1,,
819,186118,186118,1,,
819,186119,186119,1,,
819,186120,186120,1,,
819,186121,186121,1,,
819,186122,186122,1,,
819,186123,186123,1,,
819,186124,186124,1,,
819,186125,186125,1,,
819,186126,186126,1,,
819,186127,186127,1,,
819,186128,186128,1,,
819,186129,186129,1,,
819,186130,186130,1,,
819,186131,186131,1,,
819,186132,186132,1,,
819,186133,186133,1,,
819,186134,186134,1,,
819,186135,186135,1,,
819,186136,186136,1,,
819,186137,186137,1,,
819,186138,186138,1,,
819,186139,186139,1,,
819,186140,186140,1,,
819,186141,186141,1,,
819,186142,186142,1,,
819,186143,186143,1,,
819,186144,186144,1,,
819,186145,186145,1,,
819,186146,186146,1,,
819,186147,186147,1,,
819,186148,186148,1,,
819,186149,186149,1,,
819,186150,186150,1,,
819,186151,186151,1,,
819,186152,186152,1,,
819,186153,186153,1,,
819,186154,186154,1,,
819,186155,186155,1,,
819,186156,186156,1,,
819,186157,186157,1,,
819,186158,186158,1,,
819,186159,186159,1,,
819,186160,186160,1,,
819,186161,186161,1,,
819,186162,186162,1,,
819,186163,186163,1,,
819,186164,186164,1,,
819,186165,186165,1,,
819,186166,186166,1,,
819,186167,186167,1,,
819,186168,186168,1,,
819,186169,186169,1,,
819,186170,186170,1,,
819,186171,186171,1,,
819,186172,186172,1,,
819,186173,186173,1,,
819,186174,186174,1,,
819,186175,186175,1,,
819,186176,186176,1,,
819,186177,186177,1,,
819,186178,186178,1,,
819,186179,186179,1,,
819,186180,186180,1,,
819,186181,186181,1,,
819,186182,186182,1,,
819,186183,186183,1,,
819,186184,186184,1,,
819,186185,186185,1,,
819,186186,186186,1,,
819,186187,186187,1,,
819,186188,186188,1,,
819,186189,186189,1,,
819,186190,186190,1,,
