service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
99680,1,1,1,1,1,0,0,20140506,20151231
99681,1,1,1,1,1,0,0,20140506,20151231
99682,1,1,1,1,1,1,0,20140506,20151231
99683,1,1,1,1,1,1,0,20140506,20151231
99684,1,1,1,1,1,1,0,20140506,20151231
99685,1,1,1,1,1,1,0,20140506,20151231
99686,1,1,1,1,1,1,0,20140506,20151231
99687,1,1,1,1,1,1,0,20140506,20151231
99688,0,0,0,0,0,0,1,20140506,20151231
99689,0,0,0,0,0,0,1,20140506,20151231
99690,0,0,0,0,0,0,1,20140506,20151231
99691,0,0,0,0,0,0,1,20140506,20151231
99692,0,0,0,0,0,0,1,20140506,20151231
99693,0,0,0,0,0,0,1,20140506,20151231
99694,0,0,0,0,0,0,1,20140506,20151231
99695,1,1,1,1,1,1,0,20140506,20151231
99696,1,1,1,1,1,1,0,20140506,20151231
99697,1,1,1,1,1,1,0,20140506,20151231
99698,1,1,1,1,1,1,0,20140506,20151231
99699,0,0,0,0,0,0,1,20140506,20151231
99705,1,1,1,1,1,1,0,20140506,20151231
99706,1,1,1,1,1,1,0,20140506,20151231
99707,0,0,0,0,0,1,1,20140506,20151231
99708,1,1,1,1,1,0,0,20140506,20151231
99709,0,0,0,0,0,1,1,20140506,20151231
99710,1,1,1,1,1,0,0,20140506,20151231
99711,1,1,1,1,1,0,0,20140506,20151231
99712,0,0,0,0,0,1,1,20140506,20151231
99713,0,0,0,0,0,1,1,20140506,20151231
99714,0,0,0,0,0,1,1,20140506,20151231
99715,0,0,0,0,0,1,1,20140506,20151231
99716,0,0,0,0,0,1,1,20140506,20151231
99717,0,0,0,0,0,1,1,20140506,20151231
99718,0,0,0,0,0,1,1,20140506,20151231
99719,0,0,0,0,0,1,1,20140506,20151231
99720,1,1,1,1,1,0,0,20140506,20151231
99721,1,1,1,1,1,0,0,20140506,20151231
99722,1,1,1,1,1,0,0,20140506,20151231
99723,1,1,1,1,1,0,0,20140506,20151231
99724,1,1,1,1,1,0,0,20140506,20151231
99725,1,1,1,1,1,0,0,20140506,20151231
99726,1,1,1,1,1,0,0,20140506,20151231
99727,1,1,1,1,1,0,0,20140506,20151231
99728,1,1,1,1,1,0,0,20140506,20151231
99729,1,1,1,1,1,0,0,20140506,20151231
99730,1,1,1,1,1,0,0,20140506,20151231
99731,1,1,1,1,1,0,0,20140506,20151231
99732,1,1,1,1,1,0,0,20140506,20151231
99733,0,0,0,0,0,0,1,20140506,20151231
99734,0,0,0,0,0,0,1,20140506,20151231
99740,0,0,0,0,0,1,0,20140506,20151231
99741,1,1,1,1,1,1,0,20140506,20151231
99742,1,1,1,1,1,0,0,20140506,20151231
99743,1,1,1,1,1,0,0,20140506,20151231
99744,1,1,1,1,1,0,0,20140506,20151231
99745,1,1,1,1,1,0,0,20140506,20151231
99746,1,1,1,1,1,0,0,20140506,20151231
99747,1,1,1,1,1,0,0,20140506,20151231
99748,1,1,1,1,1,0,0,20140506,20151231
99749,1,1,1,1,1,0,0,20140506,20151231
99750,1,1,1,1,1,0,0,20140506,20151231
99751,1,1,1,1,1,0,0,20140506,20151231
99752,1,1,1,1,1,0,0,20140506,20151231
99753,1,1,1,1,1,0,0,20140506,20151231
99754,1,1,1,1,1,0,0,20140506,20151231
99755,1,1,1,1,1,0,0,20140506,20151231
99756,1,1,1,1,1,0,0,20140506,20151231
99757,1,1,1,1,1,0,0,20140506,20151231
99758,0,0,0,0,0,1,1,20140506,20151231
99759,0,0,0,0,0,1,1,20140506,20151231
99760,0,0,0,0,0,1,1,20140506,20151231
99761,0,0,0,0,0,1,1,20140506,20151231
99762,0,0,0,0,0,1,1,20140506,20151231
99763,0,0,0,0,0,1,1,20140506,20151231
99764,0,0,0,0,0,1,1,20140506,20151231
99765,0,0,0,0,0,1,1,20140506,20151231
99766,1,1,1,1,1,0,0,20140506,20151231
99767,1,1,1,1,1,0,0,20140506,20151231
99768,1,1,1,1,1,0,0,20140506,20151231
99769,0,0,0,0,0,1,1,20140506,20151231
99770,0,0,0,0,0,1,1,20140506,20151231
99771,1,1,1,1,1,0,0,20140506,20151231
99772,1,1,1,1,1,0,0,20140506,20151231
99773,1,1,1,1,1,0,0,20140506,20151231
99774,1,1,1,1,1,0,0,20140506,20151231
99775,1,1,1,1,1,0,0,20140506,20151231
99776,1,1,1,1,1,0,0,20140506,20151231
99777,0,0,0,0,0,1,1,20140506,20151231
99778,0,0,0,0,0,1,1,20140506,20151231
99779,0,0,0,0,0,1,1,20140506,20151231
99780,0,0,0,0,0,1,1,20140506,20151231
99781,0,0,0,0,0,1,1,20140506,20151231
99782,0,0,0,0,0,1,1,20140506,20151231
99783,1,1,1,1,1,0,0,20140506,20151231
99784,1,1,1,1,0,0,0,20140506,20151231
99785,1,1,1,1,0,0,0,20140506,20151231
99786,1,1,1,1,0,0,0,20140506,20151231
99787,1,1,1,1,0,0,0,20140506,20151231
99788,1,1,1,1,0,0,0,20140506,20151231
99789,1,1,1,1,0,0,0,20140506,20151231
99790,1,1,1,1,0,0,0,20140506,20151231
99791,1,1,1,1,0,0,0,20140506,20151231
99792,1,1,1,1,0,0,0,20140506,20151231
99793,1,1,1,1,0,0,0,20140506,20151231
99794,1,1,1,1,0,0,0,20140506,20151231
99795,1,1,1,1,0,0,0,20140506,20151231
99796,1,1,1,1,0,0,0,20140506,20151231
