trip_id,stop_sequence,arrival_time,departure_time,stop_id
41449,20,12:25:26,12:25:51,5.0
41278,2,12:25:29,12:25:44,41.0
41541,8,12:25:29,12:25:54,9.0
40942,4,12:25:32,12:25:57,5.0
40998,22,12:25:33,12:25:48,39.0
41131,12,12:25:34,12:25:59,11.0
41041,6,12:25:35,12:25:55,37.0
41063,8,12:25:41,12:26:06,7.0
41150,14,12:25:48,12:26:03,14.0
41363,12,12:25:50,12:26:20,13.0
40904,10,12:25:52,12:26:07,33.0
41018,22,12:25:53,12:26:18,23.0
41102,9,12:25:55,12:26:10,17.0
40979,4,12:25:59,12:26:14,3.0
41223,24,12:26:07,12:26:17,1.0
41389,1,12:26:17,12:26:32,51.0
41245,15,12:26:30,12:26:55,32.0
41337,13,12:26:35,12:27:00,12.0
41265,26,12:26:42,12:26:57,2.0
41449,21,12:26:42,12:27:07,4.0
41476,4,12:26:43,12:27:03,24.0
40875,20,12:26:45,12:27:10,6.0
41541,9,12:26:48,12:27:13,10.0
41082,19,12:26:48,12:26:58,36.0
40956,15,12:26:49,12:27:04,16.0
41063,9,12:26:56,12:27:21,8.0
40998,23,12:26:58,12:27:13,40.0
41508,17,12:27:01,12:27:26,8.0
41211,9,12:27:06,12:27:21,20.0
41102,10,12:27:07,12:27:22,16.0
41326,19,12:27:10,12:27:35,10.0
41193,19,12:27:13,12:27:28,20.0
40979,5,12:27:15,12:27:40,4.0
41278,3,12:27:16,12:27:26,40.0
41131,13,12:27:18,12:27:43,12.0
40942,5,12:27:19,12:27:44,6.0
41173,1,12:27:21,12:27:36,2.0
41041,7,12:27:28,12:27:38,36.0
40904,11,12:27:29,12:27:54,32.0
41018,23,12:27:31,12:27:51,24.0
41223,25,12:27:40,12:27:50,51.0
41150,15,12:27:50,12:28:15,13.0
41389,2,12:28:06,12:28:16,1.0
41449,22,12:28:14,12:28:29,3.0
41476,5,12:28:15,12:28:40,23.0
40956,16,12:28:19,12:28:34,17.0
41508,18,12:28:20,12:28:45,7.0
41337,14,12:28:20,12:28:45,11.0
41363,13,12:28:21,12:28:36,14.0
41245,16,12:28:24,12:28:39,33.0
41326,20,12:28:25,12:28:50,9.0
40875,21,12:28:26,12:28:51,5.0
41082,20,12:28:27,12:28:47,37.0
41063,10,12:28:29,12:28:54,9.0
40979,6,12:28:32,12:28:57,5.0
41541,10,12:28:34,12:28:59,11.0
41278,4,12:28:37,12:28:52,39.0
40998,24,12:28:40,12:28:50,41.0
40942,6,12:28:41,12:29:06,7.0
41211,10,12:28:41,12:29:06,19.0
41131,14,12:28:50,12:29:20,13.0
41193,20,12:28:55,12:29:10,21.0
41041,8,12:28:56,12:29:16,35.0
41173,2,12:28:59,12:29:14,3.0
41421,1,12:29:17,12:29:32,42.0
