trip_id,route_id,service_id,trip_headsign,direction_id
39797,MB,carnavaldo-16.pex,Sopela,0
39769,MB,carnavaldo-16.pex,Basauri,1
39770,MB,carnavaldo-16.pex,Kabiezes,0
39798,MB,carnavaldo-16.pex,Etxebarri,1
39799,MB,carnavaldo-16.pex,Etxebarri,1
39800,MB,carnavaldo-16.pex,Sopela,0
39801,MB,carnavaldo-16.pex,Etxebarri,1
39802,MB,carnavaldo-16.pex,Sopela,0
39803,MB,carnavaldo-16.pex,Basauri,1
39804,MB,carnavaldo-16.pex,Etxebarri,1
39805,MB,carnavaldo-16.pex,Ibarbengoa,0
39806,MB,carnavaldo-16.pex,Etxebarri,1
39807,MB,carnavaldo-16.pex,Ibarbengoa,0
39808,MB,carnavaldo-16.pex,Etxebarri,1
39809,MB,carnavaldo-16.pex,Ibarbengoa,0
39810,MB,carnavaldo-16.pex,Etxebarri,1
39811,MB,carnavaldo-16.pex,Ibarbengoa,0
39812,MB,carnavaldo-16.pex,Etxebarri,1
39813,MB,carnavaldo-16.pex,Ibarbengoa,0
39814,MB,carnavaldo-16.pex,Etxebarri,1
39815,MB,carnavaldo-16.pex,Ibarbengoa,0
39816,MB,carnavaldo-16.pex,Etxebarri,1
39817,MB,carnavaldo-16.pex,Ibarbengoa,0
39818,MB,carnavaldo-16.pex,Sopela,0
39819,MB,carnavaldo-16.pex,Etxebarri,1
39820,MB,carnavaldo-16.pex,Sopela,0
39821,MB,carnavaldo-16.pex,Etxebarri,1
39771,MB,carnavaldo-16.pex,Basauri,1
39772,MB,carnavaldo-16.pex,Kabiezes,0
39822,MB,carnavaldo-16.pex,Sopela,0
39823,MB,carnavaldo-16.pex,Basauri,1
39824,MB,carnavaldo-16.pex,Kabiezes,0
39773,MB,carnavaldo-16.pex,Basauri,1
39825,MB,carnavaldo-16.pex,Basauri,1
39826,MB,carnavaldo-16.pex,Kabiezes,0
39827,MB,carnavaldo-16.pex,Basauri,1
39828,MB,carnavaldo-16.pex,Kabiezes,0
39829,MB,carnavaldo-16.pex,Basauri,1
39830,MB,carnavaldo-16.pex,Kabiezes,0
39831,MB,carnavaldo-16.pex,Basauri,1
39832,MB,carnavaldo-16.pex,Kabiezes,0
39833,MB,carnavaldo-16.pex,Basauri,1
39834,MB,carnavaldo-16.pex,Kabiezes,0
39835,MB,carnavaldo-16.pex,Basauri,1
39836,MB,carnavaldo-16.pex,Kabiezes,0
39837,MB,carnavaldo-16.pex,Basauri,1
39838,MB,carnavaldo-16.pex,Kabiezes,0
39839,MB,carnavaldo-16.pex,Basauri,1
39840,MB,carnavaldo-16.pex,Basauri,1
39841,MB,carnavaldo-16.pex,Kabiezes,0
39842,MB,carnavaldo-16.pex,Basauri,1
39843,MB,carnavaldo-16.pex,Kabiezes,0
39774,MB,carnavaldo-16.pex,Kabiezes,0
39775,MB,carnavaldo-16.pex,Basauri,1
39844,MB,carnavaldo-16.pex,Basauri,1
39776,MB,carnavaldo-16.pex,Kabiezes,0
39845,MB,carnavaldo-16.pex,Kabiezes,0
39777,MB,carnavaldo-16.pex,Basauri,1
39846,MB,carnavaldo-16.pex,Basauri,1
39847,MB,carnavaldo-16.pex,Kabiezes,0
39848,MB,carnavaldo-16.pex,Basauri,1
39849,MB,carnavaldo-16.pex,Kabiezes,0
39850,MB,carnavaldo-16.pex,Basauri,1
39851,MB,carnavaldo-16.pex,Kabiezes,0
39852,MB,carnavaldo-16.pex,Basauri,1
39853,MB,carnavaldo-16.pex,Kabiezes,0
39854,MB,carnavaldo-16.pex,Basauri,1
39855,MB,carnavaldo-16.pex,Kabiezes,0
39856,MB,carnavaldo-16.pex,Basauri,1
39857,MB,carnavaldo-16.pex,Kabiezes,0
39858,MB,carnavaldo-16.pex,Etxebarri,1
39859,MB,carnavaldo-16.pex,Ibarbengoa,0
39860,MB,carnavaldo-16.pex,Etxebarri,1
39861,MB,carnavaldo-16.pex,Ibarbengoa,0
39862,MB,carnavaldo-16.pex,Etxebarri,1
39863,MB,carnavaldo-16.pex,Ibarbengoa,0
39864,MB,carnavaldo-16.pex,Etxebarri,1
39865,MB,carnavaldo-16.pex,Ibarbengoa,0
39866,MB,carnavaldo-16.pex,Etxebarri,1
39867,MB,carnavaldo-16.pex,Ibarbengoa,0
39868,MB,carnavaldo-16.pex,Etxebarri,1
39869,MB,carnavaldo-16.pex,Ibarbengoa,0
39870,MB,carnavaldo-16.pex,Etxebarri,1
39871,MB,carnavaldo-16.pex,Ibarbengoa,0
39872,MB,carnavaldo-16.pex,Sopela,0
39873,MB,carnavaldo-16.pex,Etxebarri,1
39874,MB,carnavaldo-16.pex,Sopela,0
39875,MB,carnavaldo-16.pex,Etxebarri,1
39876,MB,carnavaldo-16.pex,Sopela,0
39877,MB,carnavaldo-16.pex,San Inazio,0
39878,MB,carnavaldo-16.pex,Basauri,1
39879,MB,carnavaldo-16.pex,Kabiezes,0
39880,MB,carnavaldo-16.pex,Basauri,1
39881,MB,carnavaldo-16.pex,Kabiezes,0
39882,MB,carnavaldo-16.pex,Basauri,1
39883,MB,carnavaldo-16.pex,Kabiezes,0
39884,MB,carnavaldo-16.pex,Basauri,1
39885,MB,carnavaldo-16.pex,Kabiezes,0
39886,MB,carnavaldo-16.pex,Basauri,1
39887,MB,carnavaldo-16.pex,Kabiezes,0
39888,MB,carnavaldo-16.pex,Basauri,1
39889,MB,carnavaldo-16.pex,Kabiezes,0
